retailer_1|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 173965 | 16147 | 84055817 | Ksn,Locn,DateId,MaxTemp,Zip,Rain | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 48992 | 13529 | 84055817 | Ksn,Rain,Locn,DateId,Zip,Category | Item,Q2
retailer_1|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 179223 | 15528 | 84055817 | Ksn,Locn,DateId,MaxTemp,Zip,Rain | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 46862 | 13535 | 84055817 | Ksn,Rain,Locn,DateId,Zip,Category | Item,Q2
retailer_1|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 183785 | 15663 | 84055817 | Ksn,Locn,DateId,MaxTemp,Zip,Rain | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 46915 | 13515 | 84055817 | Ksn,Rain,Locn,DateId,Zip,Category | Item,Q2
retailer_1|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 184101 | 15519 | 84055817 | Ksn,Locn,DateId,MaxTemp,Zip,Rain | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 46959 | 13496 | 84055817 | Ksn,Rain,Locn,DateId,Zip,Category | Item,Q2
retailer_1|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 180877 | 15362 | 84055817 | Ksn,Locn,DateId,MaxTemp,Zip,Rain | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 46686 | 13488 | 84055817 | Ksn,Rain,Locn,DateId,Zip,Category | Item,Q2
retailer_2|CAVIER|retailer_unordered||Weather,Location,Census:Q2 | CustomHash1000000, 1000000, 2 | 666 | 149 | 1159457 | Locn,DateId,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Weather,Location : Q1 | CustomHash1000000, 1000000, 2 | 524 | 302 | 1159457 | Zip,OccupiedHouseUnits,Pacific,Housholds,HusbWife,Population,Males,Blackafrican,Females,Families,HouseUnits,Asian,HousholdsChildren,MedianAge,Hispanic,White,SuperTargetDistance,SuperTargetDriveTime,SellAreaSqFt,MaxTemp,Snow,TargetDriveTime,RgnCd,DateId,TotalAreaSqFt,MeanWind,Rain,TargetDistance,ClimbZnNbr,WalmartSuperCenterDriveTime,MinTemp,AvgHigh,WalmartSuperCenterDistance,Thunder,Locn,WalmartDistance,WalmartDriveTime | Census,Q2
retailer_2|CAVIER|retailer_unordered||Weather,Location,Census:Q2 | CustomHash1000000, 1000000, 2 | 635 | 134 | 1159457 | Locn,DateId,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Weather,Location : Q1 | CustomHash1000000, 1000000, 2 | 465 | 301 | 1159457 | Zip,OccupiedHouseUnits,Pacific,Housholds,HusbWife,Population,Males,Blackafrican,Females,Families,HouseUnits,Asian,HousholdsChildren,MedianAge,Hispanic,White,SuperTargetDistance,SuperTargetDriveTime,SellAreaSqFt,MaxTemp,Snow,TargetDriveTime,RgnCd,DateId,TotalAreaSqFt,MeanWind,Rain,TargetDistance,ClimbZnNbr,WalmartSuperCenterDriveTime,MinTemp,AvgHigh,WalmartSuperCenterDistance,Thunder,Locn,WalmartDistance,WalmartDriveTime | Census,Q2
retailer_2|CAVIER|retailer_unordered||Weather,Location,Census:Q2 | CustomHash1000000, 1000000, 2 | 633 | 120 | 1159457 | Locn,DateId,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Weather,Location : Q1 | CustomHash1000000, 1000000, 2 | 475 | 302 | 1159457 | Zip,OccupiedHouseUnits,Pacific,Housholds,HusbWife,Population,Males,Blackafrican,Females,Families,HouseUnits,Asian,HousholdsChildren,MedianAge,Hispanic,White,SuperTargetDistance,SuperTargetDriveTime,SellAreaSqFt,MaxTemp,Snow,TargetDriveTime,RgnCd,DateId,TotalAreaSqFt,MeanWind,Rain,TargetDistance,ClimbZnNbr,WalmartSuperCenterDriveTime,MinTemp,AvgHigh,WalmartSuperCenterDistance,Thunder,Locn,WalmartDistance,WalmartDriveTime | Census,Q2
retailer_2|CAVIER|retailer_unordered||Weather,Location,Census:Q2 | CustomHash1000000, 1000000, 2 | 633 | 123 | 1159457 | Locn,DateId,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Weather,Location : Q1 | CustomHash1000000, 1000000, 2 | 488 | 300 | 1159457 | Zip,OccupiedHouseUnits,Pacific,Housholds,HusbWife,Population,Males,Blackafrican,Females,Families,HouseUnits,Asian,HousholdsChildren,MedianAge,Hispanic,White,SuperTargetDistance,SuperTargetDriveTime,SellAreaSqFt,MaxTemp,Snow,TargetDriveTime,RgnCd,DateId,TotalAreaSqFt,MeanWind,Rain,TargetDistance,ClimbZnNbr,WalmartSuperCenterDriveTime,MinTemp,AvgHigh,WalmartSuperCenterDistance,Thunder,Locn,WalmartDistance,WalmartDriveTime | Census,Q2
retailer_2|CAVIER|retailer_unordered||Weather,Location,Census:Q2 | CustomHash1000000, 1000000, 2 | 631 | 135 | 1159457 | Locn,DateId,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Weather,Location : Q1 | CustomHash1000000, 1000000, 2 | 476 | 305 | 1159457 | Zip,OccupiedHouseUnits,Pacific,Housholds,HusbWife,Population,Males,Blackafrican,Females,Families,HouseUnits,Asian,HousholdsChildren,MedianAge,Hispanic,White,SuperTargetDistance,SuperTargetDriveTime,SellAreaSqFt,MaxTemp,Snow,TargetDriveTime,RgnCd,DateId,TotalAreaSqFt,MeanWind,Rain,TargetDistance,ClimbZnNbr,WalmartSuperCenterDriveTime,MinTemp,AvgHigh,WalmartSuperCenterDistance,Thunder,Locn,WalmartDistance,WalmartDriveTime | Census,Q2
retailer_3|CAVIER|retailer_unordered||Weather,Inventory,Item,Location:Q2 | CustomHash160000, 6000, 2 | 54516 | 14554 | 84055817 | Ksn,Locn,DateId,Prize,Category | Inventory,Item : Q1 | CustomHash160000, 6000, 2 | 163829 | 14286 | 84055817 | Locn,Zip,DateId,Ksn,Category,Rain | Weather,Location,Q2
retailer_3|CAVIER|retailer_unordered||Weather,Inventory,Item,Location:Q2 | CustomHash160000, 6000, 2 | 51748 | 13826 | 84055817 | Ksn,Locn,DateId,Prize,Category | Inventory,Item : Q1 | CustomHash160000, 6000, 2 | 169247 | 14291 | 84055817 | Locn,Zip,DateId,Ksn,Category,Rain | Weather,Location,Q2
retailer_3|CAVIER|retailer_unordered||Weather,Inventory,Item,Location:Q2 | CustomHash160000, 6000, 2 | 51911 | 13559 | 84055817 | Ksn,Locn,DateId,Prize,Category | Inventory,Item : Q1 | CustomHash160000, 6000, 2 | 166568 | 14373 | 84055817 | Locn,Zip,DateId,Ksn,Category,Rain | Weather,Location,Q2
retailer_3|CAVIER|retailer_unordered||Weather,Inventory,Item,Location:Q2 | CustomHash160000, 6000, 2 | 51995 | 13696 | 84055817 | Ksn,Locn,DateId,Prize,Category | Inventory,Item : Q1 | CustomHash160000, 6000, 2 | 168850 | 14326 | 84055817 | Locn,Zip,DateId,Ksn,Category,Rain | Weather,Location,Q2
retailer_3|CAVIER|retailer_unordered||Weather,Inventory,Item,Location:Q2 | CustomHash160000, 6000, 2 | 52193 | 13586 | 84055817 | Ksn,Locn,DateId,Prize,Category | Inventory,Item : Q1 | CustomHash160000, 6000, 2 | 168155 | 14255 | 84055817 | Locn,Zip,DateId,Ksn,Category,Rain | Weather,Location,Q2
retailer_4|CAVIER|retailer_unordered||Inventory,Item,Location:Q2 | CustomHash100000, 6000, 2 | 39611 | 207 | 1731231 | Ksn,Locn,Prize,Category | Inventory,Item : Q1 | CustomHash100000, 6000, 2 | 1005 | 187 | 1731231 | Locn,Ksn,Category,Zip | Location,Q2
retailer_4|CAVIER|retailer_unordered||Inventory,Item,Location:Q2 | CustomHash100000, 6000, 2 | 37597 | 181 | 1731231 | Ksn,Locn,Prize,Category | Inventory,Item : Q1 | CustomHash100000, 6000, 2 | 956 | 186 | 1731231 | Locn,Ksn,Category,Zip | Location,Q2
retailer_4|CAVIER|retailer_unordered||Inventory,Item,Location:Q2 | CustomHash100000, 6000, 2 | 37002 | 185 | 1731231 | Ksn,Locn,Prize,Category | Inventory,Item : Q1 | CustomHash100000, 6000, 2 | 924 | 179 | 1731231 | Locn,Ksn,Category,Zip | Location,Q2
retailer_4|CAVIER|retailer_unordered||Inventory,Item,Location:Q2 | CustomHash100000, 6000, 2 | 34670 | 172 | 1731231 | Ksn,Locn,Prize,Category | Inventory,Item : Q1 | CustomHash100000, 6000, 2 | 843 | 173 | 1731231 | Locn,Ksn,Category,Zip | Location,Q2
retailer_4|CAVIER|retailer_unordered||Inventory,Item,Location:Q2 | CustomHash100000, 6000, 2 | 31377 | 172 | 1731231 | Ksn,Locn,Prize,Category | Inventory,Item : Q1 | CustomHash100000, 6000, 2 | 818 | 172 | 1731231 | Locn,Ksn,Category,Zip | Location,Q2
retailer_5|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 165870 | 15992 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 56685 | 12168 | 84055817 | Ksn,DateId,Locn | Item,Q2
retailer_5|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 166575 | 15499 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 53894 | 12120 | 84055817 | Ksn,DateId,Locn | Item,Q2
retailer_5|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 170847 | 15481 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 53844 | 12082 | 84055817 | Ksn,DateId,Locn | Item,Q2
retailer_5|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 173721 | 15232 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 53897 | 12086 | 84055817 | Ksn,DateId,Locn | Item,Q2
retailer_5|CAVIER|retailer_unordered||Inventory,Weather,Location,Item:Q2 | CustomHash160000, 6000, 2 | 173331 | 15403 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location : Q1 | CustomHash160000, 6000, 2 | 54110 | 12134 | 84055817 | Ksn,DateId,Locn | Item,Q2
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 165908 | 15497 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 49376 | 11572 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 168381 | 15510 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 46500 | 11528 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 173518 | 15017 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 46528 | 11549 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 174727 | 15323 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 46510 | 11521 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 173976 | 15074 | 84055817 | Ksn,Locn,DateId | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 46825 | 11607 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 175718 | 16448 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 48650 | 11606 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 181651 | 16067 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45131 | 11660 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 181814 | 16159 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45037 | 11688 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 180749 | 15950 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 44999 | 11531 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 181800 | 15946 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45181 | 11597 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 172653 | 16946 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 48621 | 11588 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 172940 | 16494 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45150 | 11578 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 177505 | 16410 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45353 | 11513 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 179749 | 16128 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45263 | 11553 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 180729 | 16468 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45210 | 11579 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 173819 | 15751 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 49011 | 11591 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 177110 | 15486 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 46536 | 11540 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 174002 | 14527 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 46312 | 11545 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 167017 | 13796 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 46323 | 11561 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_6|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 164567 | 14195 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 43495 | 11161 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_7|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 175240 | 17062 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 48700 | 11568 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_7|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 179344 | 16743 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45125 | 11470 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_7|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 178700 | 16522 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45163 | 11514 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
retailer_7|CAVIER|retailer_unordered||Inventory,Item,Location,Weather:Q2 | CustomHash160000, 6000, 2 | 180351 | 16287 | 84055817 | Ksn,Locn,DateId,InventoryUnits,Rain,Snow,MaxTemp,MinTemp,MeanWind,Thunder,Zip,RgnCd,ClimbZnNbr,TotalAreaSqFt,SellAreaSqFt,AvgHigh,SuperTargetDistance,SuperTargetDriveTime,TargetDistance,TargetDriveTime,WalmartDistance,WalmartDriveTime,WalmartSuperCenterDistance,WalmartSuperCenterDriveTime | Inventory,Weather,Location| 1000 : Q1 | CustomHash160000, 6000, 2 | 45480 | 11492 | 84055817 | Ksn,Locn,DateId | Item,Q2| 1000
