retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 28255 | 5814 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash5000, 2000, 2 | 26744 | 5431 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash2000, 500, 2 | 25892 | 5453 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash2000, 500, 2 | 29624 | 6043 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash2000, 500, 2 | 28768 | 6054 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash6000, 200, 2 | 30531 | 5666 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash700, 200, 2 | 26356 | 5000 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash700, 200, 2 | 26097 | 5015 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | CustomHash2000, 500, 2 | 26160 | 5029 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Inventory,Item,Weather,Location:Q1a | Hash | 26152 | 4886 | 84055817 | locn,dateid,ksn,category,rain,zip | Inventory,Item,Weather,Location
retailer_1|FIVM|retailer||Item,q2:Q1c | CustomHash160000, 6000, 2 | 23769 | 11699 | 84055817 | ksn,category,locn,dateid,rain,zip | Item,q2
retailer_1|FIVM|retailer||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 7679 | 4462 | 84055817 | locn,dateid,ksn,rain,maxtemp,zip | Inventory,Weather,Location
