retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 163554 | 12499 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 164624 | 12256 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 162232 | 11954 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 156244 | 11747 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 155099 | 11444 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 153766 | 11233 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 148946 | 11056 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 151973 | 10852 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 145675 | 10739 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Weather,Location:Q2 | CustomHash160000, 6000, 2 | 143894 | 10567 | 84055817 | locn,dateid,ksn | Inventory,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 192284 | 12574 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 202113 | 12134 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 199788 | 11912 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 204123 | 11987 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
retailer_6|FIVM|retailer_unordered||Inventory,Item,Weather,Location:Q1a | CustomHash160000, 6000, 2 | 202310 | 11828 | 84055817 | locn,dateid,ksn | Inventory,Item,Weather,Location
